2026-08-18 21:05:53,444 [INFO] 🚀 워커 봇 시작됨 (ID: worker_86a4afbf) - 16단계 상태머신 기반 KIS 001x 통신 대기 중...
2026-08-18 21:05:55,090 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:05:55,091 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:05:56,097 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:05:56,098 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:05:57,103 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:05:57,104 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:05:58,112 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:05:58,113 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:05:59,117 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:05:59,118 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
